  Frequency            , V(Vout)              , V(Vout) / V(Vs)      , ABS(V(Vout)) / V(Vs) , DB(ABS(V(Vout)/ V(Vs)))
  1.560337477382e+004  ,2.488071390250e+000  ,9.952285561001e-001  ,9.952285561001e-001  ,-4.154342519549e-002  
  1.722752246569e+004  ,2.485481579584e+000  ,9.941926318335e-001  ,9.941926318335e-001  ,-5.058919662016e-002  
  1.902072690095e+004  ,2.482335476039e+000  ,9.929341904154e-001  ,9.929341904154e-001  ,-6.159069346722e-002  
  2.100058511380e+004  ,2.478516442924e+000  ,9.914065771697e-001  ,9.914065771697e-001  ,-7.496408467106e-002  
  2.318652580516e+004  ,2.473884742994e+000  ,9.895538971977e-001  ,9.895538971977e-001  ,-9.121092924117e-002  
  2.560000000000e+004  ,2.468273602579e+000  ,9.873094410314e-001  ,9.873094410314e-001  ,-1.109342015151e-001  
  2.826469155005e+004  ,2.461484909907e+000  ,9.845939639628e-001  ,9.845939639628e-001  ,-1.348566198065e-001  
  3.120674954763e+004  ,2.453284671181e+000  ,9.813138684724e-001  ,9.813138684724e-001  ,-1.638412684253e-001  
  3.445504493139e+004  ,2.443398446893e+000  ,9.773593787571e-001  ,9.773593787571e-001  ,-1.989143036659e-001  
  3.804145380191e+004  ,2.431507128023e+000  ,9.726028512092e-001  ,9.726028512092e-001  ,-2.412892324206e-001  
  4.200117022759e+004  ,2.417243592290e+000  ,9.668974369162e-001  ,9.668974369162e-001  ,-2.923918201740e-001  
  4.637305161031e+004  ,2.400191003961e+000  ,9.600764015845e-001  ,9.600764015845e-001  ,-3.538841003278e-001  
  5.120000000000e+004  ,2.379883774538e+000  ,9.519535098150e-001  ,9.519535098150e-001  ,-4.276852113822e-001  
  5.652938310010e+004  ,2.355812453848e+000  ,9.423249815392e-001  ,9.423249815392e-001  ,-5.159859070049e-001  
  6.241349909527e+004  ,2.327434010566e+000  ,9.309736042263e-001  ,9.309736042263e-001  ,-6.212526467827e-001  
  6.891008986278e+004  ,2.294188991025e+000  ,9.176755964098e-001  ,9.176755964098e-001  ,-7.462163452195e-001  
  7.608290760381e+004  ,2.255526784467e+000  ,9.022107137866e-001  ,9.022107137866e-001  ,-8.938403988832e-001  
  8.400234045518e+004  ,2.210939527364e+000  ,8.843758109457e-001  ,8.843758109457e-001  ,-1.067262891212e+000  
  9.274610322062e+004  ,2.160003941079e+000  ,8.640015764318e-001  ,8.640015764318e-001  ,-1.269709302390e+000  
  1.024000000000e+005  ,2.102428623643e+000  ,8.409714494572e-001  ,8.409714494572e-001  ,-1.504374960467e+000  
